reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-05-0027,1,Imposé par arrêté préfectoral,Alimentation,Autres,Herba Nature,"Référence en 125 gélules : 5507
Référence en 250 gélules : 5506",Tous les lots Date limite de consommation 01/09/2023,,,Produit à conserver à température ambiante,,,France entière,SENTIER NATURE,Oxyde d'éthylène,Dépassement des limites autorisées de pesticides,,Poudre d'Ipaghul non conforme en oxyde d'éthylène,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit,298501950,Echange,,,https://rappel.conso.gouv.fr/image/601bed28-b249-49dc-96c8-ce4983f8177b.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/329/Interne,https://rappel.conso.gouv.fr/fiche-rappel/329/Interne,B8B4C20D-05C5-488F-8F3B-141C02F44860,2021-05-04
2021-05-0028,1,Imposé par arrêté préfectoral,Alimentation,Autres,Herba Nature,"Référence 376 en 125 gélules
Référence 576 en 250 gélules",076102 - 076103 - 076105 Date limite de consommation 07/04/2023,,,Produit à conserver à température ambiante,,,France entière,SENTIER NATURE,Oxyde d'éthylène,Dépassement des limites autorisées de pesticides,,Poudre d'Ipaghul non conforme en oxyde d'éthylène,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit,298501950,Echange,,,https://rappel.conso.gouv.fr/image/9de6709c-2778-4a0a-85fc-9fa47b952ffe.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/330/Interne,https://rappel.conso.gouv.fr/fiche-rappel/330/Interne,6F21ABE5-EDF7-4622-A451-0D720FDE0602,2021-06-04
2021-05-0100,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,"Filets de Maquereaux moutarde à l'ancienne 169g
3 x Filets de Maquereaux moutarde à l'ancienne 169g",3019081241193  Date de consommation recommandée 02/12/2023 3019081241193  Date de consommation recommandée 18/12/2023 3019082000010  Date de consommation recommandée 02/12/2023 3019082000010  Date de consommation recommandée 08/01/2024 3019081241193  Date de consommation recommandée 17/12/2023 3019082000010  Date de consommation recommandée 17/12/2023,/,,Produit à conserver à température ambiante,PT C.241.1 P CE,/,France entière,"CARREFOUR
AUCHAN
GALEC
ITM
PROVERA
U",Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/85ae095b-7d7b-4186-870d-4c00de2c98c5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/408/Interne,https://rappel.conso.gouv.fr/fiche-rappel/408/Interne,FD44210D-73D2-45F6-989A-471C6C022C43,2021-05-17
2021-05-0101,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,"Emiettés de thon Le Mariné au piment d’Espelette 110g
2 x Emiettés de thon Le Mariné au piment d’Espelette 110g",3019081236618  Date de durabilité minimale 06/03/2022 3019081236618  Date de durabilité minimale 14/05/2022 3019081236618  Date de durabilité minimale 28/06/2022 3019081236618  Date de durabilité minimale 04/07/2022 3019081236618  Date de durabilité minimale 11/08/2022 3019081236618  Date de durabilité minimale 16/10/2022 3019081236618  Date de durabilité minimale 06/01/2023 3019081236618  Date de durabilité minimale 15/01/2023 3019081236618  Date de durabilité minimale 06/04/2023 3019081236618  Date de durabilité minimale 19/05/2023 3019081238438  Date de durabilité minimale 16/10/2022,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,"AMAZON
AMC
CARREFOUR
AUCHAN
GALEC
Mc CORMICK
PROVERA
SOCIETE REGAL
SOFIEX SENEGAL
U",Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini.,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/dee9602e-dd8f-41d1-aabf-4dc1504a9710.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/409/Interne,https://rappel.conso.gouv.fr/fiche-rappel/409/Interne,10386D11-FC82-4537-8E1C-89743A51152D,2021-05-17
2021-05-0102,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,CORENTIN KERMEUR,Préparation pour sandwich au thon recette mexicaine 80g,3019081239121  Date de durabilité minimale 07/08/2022 3019081239121  Date de durabilité minimale 26/09/2022,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,AUCHAN SELF DISCOUNT,Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini.,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/98225f6c-fe6b-4102-8057-d61cd97cdbc1.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/410/Interne,https://rappel.conso.gouv.fr/fiche-rappel/410/Interne,C8FF0032-BFE3-488C-A67E-AF0EAFFF5AB4,2021-05-17
2021-05-0103,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,Pavé de thon grillé tomates et basilic 120g,3019081234614  Date de durabilité minimale 01/02/2021 3019081234614  Date de durabilité minimale 14/05/2021 3019081234614  Date de durabilité minimale 10/07/2021 3019081234614  Date de durabilité minimale 11/07/2021 3019081234614  Date de durabilité minimale 15/10/2021 3019081234614  Date de durabilité minimale 14/10/2021 3019081234614  Date de durabilité minimale 17/11/2021 3019081234614  Date de durabilité minimale 21/11/2021 3019081234614  Date de durabilité minimale 05/05/2022 3019081234614  Date de durabilité minimale 06/05/2022,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,"AMAZON
CARREFOUR
AUCHAN
GALEC
GASPARD
ITM
Mc CORMICK
BANQUE ALIMENTAIRE
SECOURS POPULAIRE",Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini..,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/b374fa53-b276-47f0-a164-79a7973de125.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/411/Interne,https://rappel.conso.gouv.fr/fiche-rappel/411/Interne,DF40652B-7388-4EF5-A33A-7FDA7053B1B5,2021-05-17
2021-05-0104,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,"Tartinades de Colin d'Alaska, Fromage frais, Ail et Fines Herbes MSC 125g
2 x Tartinades de Colin d'Alaska, Fromage frais, Ail et Fines Herbes MSC 125g",3019081240899  Date de durabilité minimale 03/02/2023 3019081240899  Date de durabilité minimale 30/04/2023 3019081241520  Date de durabilité minimale 11/02/2023 3019081241520  Date de durabilité minimale 30/04/2023 3019081241520  Date de durabilité minimale 03/04/2023,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,"CARREFOUR
GALEC
ITM
PROVERA
U
SOCIETE REGAL",Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini.,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/6f899506-c1e5-46fb-b167-99ee61ad5635.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/412/Interne,https://rappel.conso.gouv.fr/fiche-rappel/412/Interne,E8364988-E220-47F6-A146-07D416F59559,2021-05-17
2021-05-0105,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,Riz & Emietté de thon mariné au curry 140g,3019081241353  Date de durabilité minimale 30/09/2021,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,CARREFOUR,Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini.,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/968ff1a9-a3c1-4527-ba95-01f781d22355.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/413/Interne,https://rappel.conso.gouv.fr/fiche-rappel/413/Interne,6F4AA2D9-31D5-4884-9194-C8340DD0B6D6,2021-05-17
2021-05-0106,1,Imposé par arrêté préfectoral,Alimentation,Plats préparés et snacks,PETIT NAVIRE,Émietté de Colin d’Alaska au Basilic 110g,3019081238414  Date de durabilité minimale 12/09/2022 3019081238414  Date de durabilité minimale 30/07/2022,/,,Produit à conserver à température ambiante,FR 29.046.514 CE,/,France entière,"AMAZON
CARREFOUR
AUCHAN
EO TRADING
GALEC
ITM
SOCIETE REGAL",Non-conformité détectée sur un ingrédient entrant dans la composition du produit fini.,Dépassement des limites autorisées de pesticides,,Résidus d’oxyde d’éthylène dépassant la limite autorisée sur un ingrédient utilisé en quantité très faible dans la recette du produit fini.,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur,801907681,Remboursement Echange,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/f55ec628-eb98-4f39-9dc5-26216344a9cb.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/414/Interne,https://rappel.conso.gouv.fr/fiche-rappel/414/Interne,30440BAA-1CB5-4BAB-99A7-FDC17D60BEB6,2021-05-17
2021-05-0109,1,Imposé par arrêté préfectoral,Alimentation,Autres,Blanche Bresson Institut,Phyto Viriprosta,PV287F Date de durabilité minimale 31/10/2022,Pilulier de 60 gélules,Du 09/12/2020 au 09/04/2021,Produit à conserver à température ambiante,,,France entière,Blanche Bresson Institut,"Suite à une alerte européenne concernant la présence d’un résidu de pesticide (oxyde d’éthylène) à des teneurs supérieures aux limites autorisées dans les produits alimentaires, Blanche Bresson Institut procède à un rappel de produit.",Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,432763838,Remboursement Echange Autre (voir informations complémentaires),samedi 10 juillet 2021,"Notre Service Client se tient à votre disposition pour répondre à vos questions, pour échanger vos produits ou pour être remboursé au 04 32 76 38 38 (Appel non surtaxé. Du lundi au vendredi (hors jours fériés), de 8h30 à 18h.).",https://rappel.conso.gouv.fr/image/7aa8aeaa-c1a1-4a30-a834-4a986d995f6e.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/417/Interne,https://rappel.conso.gouv.fr/fiche-rappel/417/Interne,FF95AAB9-17D9-4EAD-987B-9CAA73D881D2,2021-05-11
2021-05-0111,1,Imposé par arrêté préfectoral,Alimentation,Autres,Laboratoire NaturAvignon,Insunat Tri Actif,0720178 Date de durabilité minimale 30/06/2022,Etui de 2 blisters de 15 comprimés,Du 11/02/2020 au 07/05/2021,Produit à conserver à température ambiante,,,France entière,Laboratoire NaturAvignon,"Suite à une alerte européenne concernant la détection d’un résidu de pesticide (oxyde d’éthylène) à des teneurs supérieures aux limites autorisées dans les produits alimentaires, Laboratoire NaturAvignon procède à un rappel de produit.",Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,490851717,Remboursement Echange Autre (voir informations complémentaires),samedi 10 juillet 2021,"Notre Service Client se tient à votre disposition pour répondre à vos questions, pour échanger vos produits ou pour être remboursé au 0490851717  (Appel non surtaxé. Du lundi au vendredi (hors jours fériés), de 8h30 à 18h.).",https://rappel.conso.gouv.fr/image/a140f3d2-a0bb-4d39-bf14-944c89c6dfa2.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/419/Interne,https://rappel.conso.gouv.fr/fiche-rappel/419/Interne,897847DB-01CE-40D7-BA31-354EE179D5A5,2021-06-08
2021-05-0115,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Thierry Duhec,Ispaghul Psyllium,20201112 Date limite de consommation 12/11/2023  20190603 Date limite de consommation 03/06/2022,180 ou 45 gélules,Du 03/06/2019 au 10/03/2021,Produit à conserver à température ambiante,,,France entière,Aucun,Taux d'oxyde d'éthylène dépassant la limite autorisée,Présence de substance interdite,,"L'oxyde d'éthylène est une substance active classée cancérogène, mutagène et reprotoxique interdite pour les usages alimentaires dans l'Union Européenne.",Ne plus consommer Détruire le produit,805383232,Remboursement Echange,,,https://rappel.conso.gouv.fr/image/44bb7d83-a334-4bde-be84-46960e8111aa.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/423/Interne,https://rappel.conso.gouv.fr/fiche-rappel/423/Interne,60B0F5D8-5946-4217-96B0-5FF3D070EFEA,2021-05-12
2021-05-0190,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,ADVENTURE FOOD,"lots : 0000/3800 DDM 04/07/2021, 0000/2369 DDM 08/07/2021 et 2370/3693 DDM 09/07/2021.","lots : 0000/3800 DDM 04/07/2021, 0000/2369 DDM 08/07/2021 et 2370/3693 DDM 09/07/2021. Date de durabilité minimale 10/07/2021",,Du 01/07/2020 au 08/01/2021,Produit à conserver à température ambiante,,,France entière,www.lyophilise.fr,Présence ETO,Produits phytosanitaires non autorisés,,Présence d'oxyde d'éthylène,Ne plus consommer,297872373,Remboursement,samedi 10 juillet 2021,,https://rappel.conso.gouv.fr/image/c19598a2-3b4d-47ab-8fa1-8144704d788f.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/503/Interne,https://rappel.conso.gouv.fr/fiche-rappel/503/Interne,CE239CC0-D208-44C7-ABC5-C73704F24ED8,2021-05-26
2021-05-0231,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,MONTFORT,Foie gras de canard entier - bocal 155 g et 160 g,3104544073968 400310000496236 Date de durabilité minimale 05/11/2023 3104544075160 401042000496236 Date limite de consommation 12/02/2024,bocal 155 g et 160 g,Du 01/09/2020 au 28/05/2021,Produit à conserver à température ambiante,FR.65.304.002.CE,,France entière,INTERMARCHE GALEC,non-conformité détectée sur un ingrédient (épice) entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient (épice) utilisé en quantité faible dans la recette du produit fini,Ne plus consommer Contacter le service consommateur,969320005,Autre (voir informations complémentaires),samedi 31 juillet 2021,,https://rappel.conso.gouv.fr/image/6b753a6f-397e-45d0-93c2-438724ff42e4.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/545/Interne,https://rappel.conso.gouv.fr/fiche-rappel/545/Interne,1970A716-F1B1-4BF2-B9F4-A65895AF275E,2021-05-31
